S.no,Route_name,Route_link
297,Delhi to Etah (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-etah-up
298,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
299,Aligarh (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/aligarh-to-lucknow
300,Aligarh (uttar pradesh) to Agra,https://www.redbus.in/bus-tickets/aligarh-to-agra
301,Bareilly to Dehradun,https://www.redbus.in/bus-tickets/bareilly-to-dehradun
302,Pilibhit to Delhi,https://www.redbus.in/bus-tickets/pilibhit-to-delhi
303,Bareilly to Lucknow,https://www.redbus.in/bus-tickets/bareilly-to-lucknow
304,Delhi to Dehradun,https://www.redbus.in/bus-tickets/delhi-to-dehradun
305,Varanasi to Allahabad,https://www.redbus.in/bus-tickets/varanasi-to-allahabad
306,Lucknow to Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura
307,Jhansi to Kanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/jhansi-to-kanpur
308,Dehradun to Bareilly,https://www.redbus.in/bus-tickets/dehradun-to-bareilly
309,Kanpur (Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/kanpur-to-lucknow
310,Aligarh (uttar pradesh) to Greater noida (uttar pradesh),https://www.redbus.in/bus-tickets/aligarh-to-greater-noida
311,Etah (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/etah-up-to-delhi
312,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
313,Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
314,Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata
315,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
316,Barasat (West Bengal) to Digha,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha
317,Kolkata to Suri,https://www.redbus.in/bus-tickets/kolkata-to-suri
318,Barasat (West Bengal) to Midnapore,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-midnapore
319,Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
320,Barasat (West Bengal) to Kolaghat,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-kolaghat
321,Barasat (West Bengal) to Contai (Kanthi),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-contai-kanthi
322,Habra to Digha,https://www.redbus.in/bus-tickets/habra-to-digha
323,Barasat (West Bengal) to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nandakumar
324,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
325,Digha to Habra,https://www.redbus.in/bus-tickets/digha-to-habra
326,Midnapore to Barasat (West Bengal),https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal
327,Kolkata to Bolpur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-bolpur-west-bengal
328,Barasat (West Bengal) to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-durgapur
329,Barasat (West Bengal) to Heria,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-heria
330,Haldia to Barasat (West Bengal),https://www.redbus.in/bus-tickets/haldia-to-barasat-west-bengal
331,Barasat (West Bengal) to Haldia,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-haldia
332,Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata
333,Barasat (West Bengal) to Debra,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-debra
334,Barasat (West Bengal) to Burdwan,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-burdwan
335,Kolkata to Bakkhali,https://www.redbus.in/bus-tickets/kolkata-to-bakkhali
336,Kolkata to Purulia,https://www.redbus.in/bus-tickets/kolkata-to-purulia
337,Durgapur (West Bengal) to Purulia,https://www.redbus.in/bus-tickets/durgapur-to-purulia
338,Habra to Midnapore,https://www.redbus.in/bus-tickets/habra-to-midnapore
339,Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
340,Durgapur (West Bengal) to Barasat (West Bengal),https://www.redbus.in/bus-tickets/durgapur-to-barasat-west-bengal
341,Barasat (West Bengal) to Asansol (West Bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-asansol
342,Jayrambati (West Bengal) to Barasat (West Bengal),https://www.redbus.in/bus-tickets/jayrambati-west-bengal-to-barasat-west-bengal
343,Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
344,Habra to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/habra-to-durgapur
345,Habra to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/habra-to-nandakumar
346,Habra to Kolaghat,https://www.redbus.in/bus-tickets/habra-to-kolaghat
347,Kolkata to Mayapur ISKCON,https://www.redbus.in/bus-tickets/kolkata-to-mayapur-iskcon
348,Habra to Heria,https://www.redbus.in/bus-tickets/habra-to-heria
349,Midnapore to Kolkata Airport,https://www.redbus.in/bus-tickets/midnapore-to-kolkata-airport
